state,count,top1,top2,top3,top4,top5
AK,2,Bombay,Domestic Short Hair,,,
AL,518,Domestic Short Hair,American Shorthair,Domestic Medium Hair,Tabby,Siamese
AR,232,Domestic Short Hair,Tabby,Domestic Long Hair,Domestic Medium Hair,Tuxedo
AZ,1013,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Tuxedo
CA,828,Domestic Short Hair,Tabby,Domestic Medium Hair,Siamese,Calico
CO,754,Domestic Short Hair,Domestic Medium Hair,Domestic Long Hair,Tabby,Siamese
CT,6621,Domestic Short Hair,Tabby,Tuxedo,Domestic Medium Hair,Domestic Long Hair
DC,4734,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Tuxedo
DE,6087,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Tuxedo
FL,2560,Domestic Short Hair,Tabby,Domestic Medium Hair,American Shorthair,Tuxedo
GA,1601,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,American Shorthair
HI,110,Domestic Short Hair,Domestic Medium Hair,Tabby,American Shorthair,Tortoiseshell
IA,992,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Tuxedo
ID,58,Domestic Short Hair,Domestic Long Hair,Tabby,Domestic Medium Hair,Extra-Toes Cat / Hemingway Polydactyl
IL,1376,Domestic Short Hair,Domestic Medium Hair,Tabby,Domestic Long Hair,Tortoiseshell
IN,2186,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,American Shorthair
KS,293,Domestic Short Hair,Domestic Medium Hair,Domestic Long Hair,American Shorthair,Siamese
KY,2088,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Tortoiseshell
LA,451,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Calico
MA,1266,Domestic Short Hair,Domestic Long Hair,Domestic Medium Hair,Tabby,Tuxedo
MD,4992,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Tuxedo
ME,151,Domestic Short Hair,Domestic Long Hair,Domestic Medium Hair,Tuxedo,Bengal
MI,1459,Domestic Short Hair,Domestic Long Hair,Domestic Medium Hair,Tabby,American Shorthair
MN,1052,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Tuxedo
MO,707,Domestic Short Hair,Tabby,Domestic Long Hair,Domestic Medium Hair,Siamese
MS,174,Domestic Short Hair,Tabby,Domestic Long Hair,American Shorthair,Domestic Medium Hair
MT,81,Domestic Short Hair,Domestic Medium Hair,Domestic Long Hair,Scottish Fold,Tabby
NC,2668,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Tuxedo
ND,206,Domestic Short Hair,Domestic Long Hair,Domestic Medium Hair,Tabby,American Shorthair
NE,100,Domestic Short Hair,Domestic Long Hair,Domestic Medium Hair,Calico,Dilute Calico
NH,796,Domestic Short Hair,Domestic Long Hair,Domestic Medium Hair,Tuxedo,Tabby
NJ,10557,Domestic Short Hair,Tabby,Tuxedo,Domestic Medium Hair,Domestic Long Hair
NM,503,Domestic Short Hair,Domestic Medium Hair,Domestic Long Hair,Tabby,Maine Coon
NV,0,,,,,
NY,1230,Domestic Short Hair,Domestic Long Hair,Tiger,Domestic Medium Hair,Tabby
OH,2752,Domestic Short Hair,Tabby,Domestic Long Hair,Domestic Medium Hair,American Shorthair
OK,583,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Calico
OR,21,Domestic Short Hair,Domestic Long Hair,Siamese,Domestic Medium Hair,Abyssinian
PA,6063,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Tuxedo
RI,2039,Domestic Short Hair,Domestic Long Hair,Domestic Medium Hair,Tabby,Tuxedo
SC,1415,Domestic Short Hair,American Shorthair,Tabby,Domestic Long Hair,Domestic Medium Hair
SD,19,Tabby,Domestic Short Hair,Chartreux,Domestic Long Hair,Tiger
TN,1714,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,American Shorthair
TX,313,Domestic Short Hair,Domestic Medium Hair,American Shorthair,Tabby,Domestic Long Hair
UT,449,Domestic Short Hair,Domestic Medium Hair,Domestic Long Hair,Siamese,Tabby
VA,2979,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Tuxedo
VT,530,Domestic Short Hair,Domestic Long Hair,Domestic Medium Hair,Tabby,Tiger
WA,592,Domestic Short Hair,Domestic Medium Hair,Domestic Long Hair,Tabby,American Shorthair
WI,691,Domestic Short Hair,Domestic Long Hair,Domestic Medium Hair,Tabby,Tiger
WV,1004,Domestic Short Hair,Tabby,Domestic Medium Hair,Domestic Long Hair,Calico
WY,41,Domestic Short Hair,Domestic Long Hair,Domestic Medium Hair,Manx,Siamese
