state,count,top1,top2,top3,top4,top5
AK,167,Labrador Retriever,Mixed Breed,Husky,Pit Bull Terrier,Australian Shepherd
AL,2748,Mixed Breed,Labrador Retriever,Pit Bull Terrier,Terrier,Shepherd
AR,2130,Labrador Retriever,Pit Bull Terrier,Mixed Breed,Hound,Shepherd
AZ,3919,Pit Bull Terrier,Chihuahua,Labrador Retriever,German Shepherd Dog,Shepherd
CA,19137,Pit Bull Terrier,German Shepherd Dog,Mixed Breed,Chihuahua,Labrador Retriever
CO,3081,Labrador Retriever,Pit Bull Terrier,Australian Cattle Dog / Blue Heeler,Mixed Breed,Chihuahua
CT,1577,Labrador Retriever,Pit Bull Terrier,American Staffordshire Terrier,German Shepherd Dog,Chihuahua
DC,501,Labrador Retriever,Pit Bull Terrier,Shepherd,Terrier,Beagle
DE,271,Mixed Breed,Pit Bull Terrier,Terrier,Labrador Retriever,Hound
FL,7558,Mixed Breed,Labrador Retriever,Pit Bull Terrier,American Bulldog,American Staffordshire Terrier
GA,6508,Mixed Breed,Pit Bull Terrier,Labrador Retriever,American Bulldog,Terrier
HI,197,Mixed Breed,Hound,American Staffordshire Terrier,Chihuahua,Catahoula Leopard Dog
IA,1262,Pit Bull Terrier,Labrador Retriever,Mixed Breed,German Shepherd Dog,Boxer
ID,539,Pit Bull Terrier,Mixed Breed,German Shepherd Dog,Labrador Retriever,Chihuahua
IL,4356,Pit Bull Terrier,Labrador Retriever,Mixed Breed,Chihuahua,American Staffordshire Terrier
IN,2995,Pit Bull Terrier,Mixed Breed,Labrador Retriever,Terrier,Shepherd
KS,1490,Pit Bull Terrier,Mixed Breed,Labrador Retriever,Boxer,Shepherd
KY,1647,Pit Bull Terrier,Labrador Retriever,Mixed Breed,German Shepherd Dog,Hound
LA,2063,Pit Bull Terrier,Mixed Breed,Labrador Retriever,Terrier,Hound
MA,761,Pit Bull Terrier,Mixed Breed,Labrador Retriever,German Shepherd Dog,Hound
MD,1807,Pit Bull Terrier,Labrador Retriever,Terrier,Mixed Breed,German Shepherd Dog
ME,345,Mixed Breed,Labrador Retriever,German Shepherd Dog,Pit Bull Terrier,Husky
MI,2658,Pit Bull Terrier,Mixed Breed,Labrador Retriever,Terrier,American Staffordshire Terrier
MN,2224,Pit Bull Terrier,Labrador Retriever,Shepherd,German Shepherd Dog,Terrier
MO,3253,Pit Bull Terrier,Labrador Retriever,Mixed Breed,Terrier,Boxer
MS,1520,Labrador Retriever,Pit Bull Terrier,Hound,Mixed Breed,Shepherd
MT,420,Pit Bull Terrier,Mixed Breed,Labrador Retriever,German Shepherd Dog,Australian Cattle Dog / Blue Heeler
NC,4030,Pit Bull Terrier,Labrador Retriever,Mixed Breed,Hound,American Staffordshire Terrier
ND,426,Pit Bull Terrier,Mixed Breed,Shepherd,Labrador Retriever,German Shepherd Dog
NE,648,Labrador Retriever,Boxer,Pit Bull Terrier,Chihuahua,German Shepherd Dog
NH,372,Mixed Breed,Labrador Retriever,Pit Bull Terrier,Doberman Pinscher,American Staffordshire Terrier
NJ,3460,Pit Bull Terrier,Labrador Retriever,Mixed Breed,American Staffordshire Terrier,Hound
NM,1165,Mixed Breed,Pit Bull Terrier,Labrador Retriever,Australian Cattle Dog / Blue Heeler,German Shepherd Dog
NV,1228,Pit Bull Terrier,Chihuahua,Mixed Breed,German Shepherd Dog,Labrador Retriever
NY,4898,Mixed Breed,Pit Bull Terrier,Labrador Retriever,Hound,Terrier
OH,4315,Pit Bull Terrier,Mixed Breed,Terrier,Labrador Retriever,Boxer
OK,2566,Pit Bull Terrier,Labrador Retriever,Mixed Breed,Husky,German Shepherd Dog
OR,1412,Pit Bull Terrier,German Shepherd Dog,Chihuahua,Labrador Retriever,Shepherd
PA,3766,Pit Bull Terrier,Mixed Breed,Labrador Retriever,Terrier,American Staffordshire Terrier
RI,421,Mixed Breed,Labrador Retriever,Terrier,Pit Bull Terrier,American Staffordshire Terrier
SC,2727,Labrador Retriever,Pit Bull Terrier,Terrier,Mixed Breed,American Staffordshire Terrier
SD,189,Mixed Breed,Pit Bull Terrier,Labrador Retriever,Dachshund,Australian Cattle Dog / Blue Heeler
TN,4121,Mixed Breed,Pit Bull Terrier,Labrador Retriever,Terrier,Hound
TX,19391,Pit Bull Terrier,Labrador Retriever,Mixed Breed,German Shepherd Dog,Shepherd
UT,1061,Mixed Breed,Pit Bull Terrier,Labrador Retriever,Australian Cattle Dog / Blue Heeler,German Shepherd Dog
VA,3327,Pit Bull Terrier,Hound,Mixed Breed,Labrador Retriever,Beagle
VT,421,Mixed Breed,Labrador Retriever,German Shepherd Dog,Pit Bull Terrier,Boxer
WA,2716,Pit Bull Terrier,Mixed Breed,German Shepherd Dog,Labrador Retriever,Shepherd
WI,1557,Mixed Breed,German Shepherd Dog,Pit Bull Terrier,Labrador Retriever,Shepherd
WV,769,Mixed Breed,Pit Bull Terrier,Hound,Labrador Retriever,Terrier
WY,297,Pit Bull Terrier,Border Collie,Mixed Breed,Labrador Retriever,Australian Cattle Dog / Blue Heeler
