breed,children,dogs,cats
Abyssinian,0.4411764705882353,0.3284313725490196,0.8921568627450981
American Bobtail,0.48936170212765956,0.3120567375886525,0.9148936170212766
American Curl,0.35714285714285715,0.2857142857142857,0.7142857142857143
American Shorthair,0.5224815025611839,0.3972680705748435,0.8912919749573136
Applehead Siamese,0.5,0.0,0.875
Balinese,0.6666666666666666,0.5833333333333334,0.9166666666666666
Bengal,0.5,0.39215686274509803,0.803921568627451
Birman,0.5,0.08333333333333333,0.8333333333333334
Bombay,0.4816247582205029,0.27852998065764023,0.9187620889748549
British Shorthair,0.5205479452054794,0.3972602739726027,0.8493150684931506
Burmese,0.41509433962264153,0.33962264150943394,0.9433962264150944
Calico,0.4282315622521808,0.2934179222839017,0.8437747819191118
Dilute Calico,0.4714828897338403,0.24714828897338403,0.8555133079847909
Dilute Tortoiseshell,0.46332046332046334,0.2857142857142857,0.8223938223938224
Domestic Long Hair,0.39225746268656714,0.24766791044776118,0.800839552238806
Domestic Medium Hair,0.4527488321954725,0.3029105282069709,0.8799856270212001
Domestic Short Hair,0.49153231269475683,0.28451429345617124,0.869394391003929
Egyptian Mau,0.3977272727272727,0.3409090909090909,0.8295454545454546
Exotic Shorthair,0.37209302325581395,0.20930232558139536,0.813953488372093
Extra-Toes Cat/ Hemingway Polydactyl,0.3237410071942446,0.3237410071942446,0.8776978417266187
Havana,0.6666666666666666,0.3333333333333333,0.8333333333333334
Himalayan,0.3783783783783784,0.43243243243243246,0.7567567567567568
Japanese Bobtail,0.3,0.4,0.8
Maine Coon,0.42823529411764705,0.28705882352941176,0.8541176470588235
Manx,0.5074626865671642,0.3283582089552239,0.900497512437811
Munchkin,0.4117647058823529,0.35294117647058826,0.7647058823529411
Nebelung,0.45454545454545453,0.2727272727272727,0.7272727272727273
Norwegian Forest,0.4782608695652174,0.21739130434782608,0.7391304347826086
Oriental Short Hair,0.3488372093023256,0.4186046511627907,0.8604651162790697
Oriental Tabby,0.5294117647058824,0.4117647058823529,1.0
Persian,0.42528735632183906,0.22988505747126436,0.7241379310344828
Ragamuffin,0.3333333333333333,0.0,0.4444444444444444
Ragdoll,0.463768115942029,0.42028985507246375,0.7246376811594203
Russian Blue,0.43614457831325304,0.2819277108433735,0.8843373493975903
Scottish Fold,0.14285714285714285,0.07142857142857142,0.6428571428571429
Siamese,0.39903264812575573,0.28174123337363965,0.8355501813784765
Siberian,0.6470588235294118,0.5882352941176471,0.7647058823529411
Silver,0.45454545454545453,0.18181818181818182,0.8181818181818182
Snowshoe,0.38095238095238093,0.26666666666666666,0.8095238095238095
Tabby,0.45161290322580644,0.29301075268817206,0.8882728494623656
Tiger,0.4528735632183908,0.23218390804597702,0.8551724137931035
Tonkinese,0.3333333333333333,0.16666666666666666,1.0
Torbie,0.4588235294117647,0.3088235294117647,0.8411764705882353
Tortoiseshell,0.4588701684836472,0.27155599603567887,0.8553022794846382
Turkish Angora,0.48214285714285715,0.26785714285714285,0.8928571428571429
Turkish Van,0.4588235294117647,0.34705882352941175,0.8941176470588236
Tuxedo,0.4732912119471568,0.3038483630097645,0.8914417001723147
