breed,children,dogs,cats
Labrador Retriever,0.6742571507914468,0.8723965565120799,0.27895029158567064
Australian Cattle Dog / Blue Heeler,0.6521505376344086,0.8817204301075269,0.23817204301075268
Border Collie,0.615582191780822,0.8587328767123288,0.2773972602739726
Husky,0.619774011299435,0.8677966101694915,0.21807909604519773
Yorkshire Terrier,0.4852459016393443,0.8786885245901639,0.3344262295081967
Golden Retriever,0.5395095367847411,0.8937329700272479,0.3569482288828338
Chihuahua,0.46317884560705147,0.9053170315609895,0.3525732158089281
Mixed Breed,0.5301254369730619,0.7822331893892659,0.2484063335389677
Shih Tzu,0.4157608695652174,0.875,0.3342391304347826
Black Labrador Retriever,0.7161477190441708,0.8819695872556119,0.3149891383055757
American Staffordshire Terrier,0.6063730084348641,0.7110278038113089,0.1886910340518588
German Shepherd Dog,0.6011396011396012,0.8266856600189934,0.22269705603038936
Bull Terrier,0.588495575221239,0.6592920353982301,0.1415929203539823
Shepherd,0.623835528429168,0.8708641182139415,0.27208480565371024
Yellow Labrador Retriever,0.6666666666666666,0.8766233766233766,0.25757575757575757
Treeing Walker Coonhound,0.6111111111111112,0.8675213675213675,0.24358974358974358
American Bulldog,0.5992647058823529,0.6852941176470588,0.18308823529411763
Maltese,0.4292682926829268,0.8878048780487805,0.37073170731707317
Belgian Shepherd / Malinois,0.5550561797752809,0.8471910112359551,0.23146067415730337
Dachshund,0.4764776839565742,0.9107358262967431,0.28950542822677927
Beagle,0.6338246702870443,0.8890612878200155,0.32893716058960437
Pointer,0.6428571428571429,0.8857142857142857,0.2119047619047619
Pit Bull Terrier,0.5591625499882381,0.6972477064220184,0.17619383674429545
Great Pyrenees,0.6657801418439716,0.8856382978723404,0.3971631205673759
Australian Shepherd,0.5765765765765766,0.8738738738738738,0.27436527436527436
Doberman Pinscher,0.5379310344827586,0.8022988505747126,0.20919540229885059
Boxer,0.642124051762606,0.7773315484158858,0.23694779116465864
Chocolate Labrador Retriever,0.6378737541528239,0.840531561461794,0.26578073089701
Corgi,0.5707547169811321,0.8820754716981132,0.25943396226415094
Jack Russell Terrier,0.546448087431694,0.8579234972677595,0.2568306010928962
Mountain Cur,0.690566037735849,0.8867924528301887,0.28679245283018867
Terrier,0.5822674418604651,0.8412790697674418,0.2534883720930233
Shar-Pei,0.5925925925925926,0.7710437710437711,0.28619528619528617
Pomeranian,0.4155251141552511,0.8949771689497716,0.3698630136986301
Rat Terrier,0.3879598662207358,0.8695652173913043,0.3879598662207358
Hound,0.6240942028985508,0.8772644927536232,0.27807971014492755
Mastiff,0.5558252427184466,0.7354368932038835,0.22330097087378642
Plott Hound,0.6405797101449275,0.8492753623188406,0.1855072463768116
Schnauzer,0.5741626794258373,0.8708133971291866,0.32057416267942584
Catahoula Leopard Dog,0.6504854368932039,0.8567961165048543,0.2961165048543689
Poodle,0.5189309576837416,0.8930957683741648,0.42538975501113585
Miniature Pinscher,0.4477124183006536,0.9084967320261438,0.32679738562091504
Siberian Husky,0.5324794144556267,0.8554437328453797,0.12717291857273558
Pug,0.6578073089700996,0.9235880398671097,0.33554817275747506
Retriever,0.6343692870201096,0.8647166361974405,0.27056672760511885
Cane Corso,0.5700483091787439,0.7101449275362319,0.1642512077294686
American Bully,0.6471734892787524,0.7173489278752436,0.20077972709551656
English Bulldog,0.5700325732899023,0.6742671009771987,0.23127035830618892
Black Mouth Cur,0.7440758293838863,0.8846761453396524,0.2211690363349131
Basset Hound,0.5986842105263158,0.8355263157894737,0.28289473684210525
Rhodesian Ridgeback,0.6607142857142857,0.8348214285714286,0.26339285714285715
Akita,0.4139194139194139,0.4945054945054945,0.10989010989010989
Cattle Dog,0.547486033519553,0.8365921787709497,0.2709497206703911
Anatolian Shepherd,0.593103448275862,0.8241379310344827,0.2793103448275862
Staffordshire Bull Terrier,0.5614489003880984,0.7516170763260026,0.12160413971539456
Boston Terrier,0.588495575221239,0.8141592920353983,0.28761061946902655
Rottweiler,0.5506134969325154,0.7530674846625767,0.24079754601226994
Great Dane,0.672645739910314,0.8460388639760837,0.2944693572496263
Collie,0.6212765957446809,0.9106382978723404,0.31063829787234043
Coonhound,0.6448275862068965,0.8620689655172413,0.23793103448275862
